	observed_features	shannon	simpson	pielou_evenness	treatment1	group_label
sampleID_1	104	3.70187040508527	0.9511070187610987	0.7970626257513446	b	Std (even)
sampleID_1a	189	4.577807088498174	0.9760808767951625	0.873336136854	a	Log (staggered)
sampleID_2	132	3.6454513139128992	0.9259062372861545	0.7465900463932685	b	Std (even)
sampleID_2a	199	4.595014181464057	0.977052619311229	0.8680804022472332	a	Log (staggered)
