	PC1	PC2	treatment1	group_label
sampleID_1	-0.43202693896119426	0.19796142415148815	b	Std (even)
sampleID_1a	0.4490704168751104	-0.017059323454632493	a	Log (staggered)
sampleID_2	-0.4220501329017717	-0.20125832074020591	b	Std (even)
sampleID_2a	0.40500665498785604	0.020356220043350106	a	Log (staggered)
